Objective_Function,InstanceMethod
4710.860862231072,Department 1 Easy Manual
4055.540360046458,Department 1 Easy Manual
3688.746884515177,Department 1 Easy Manual
3898.8228803716606,Department 1 Easy Manual
4112.283840804369,Department 1 Easy Manual
3366.150422560842,Department 1 Easy Manual
4279.082186778317,Department 1 Easy Manual
3803.951703445606,Department 1 Easy Manual
2568.237804878049,Department 1 Easy Automated
2788.4756097560976,Department 1 Easy Automated
2925.1808943089427,Department 1 Easy Automated
2741.252613240418,Department 1 Easy Automated
2641.8536585365855,Department 1 Easy Automated
4629.900323973937,Department 1 Hard Manual
3529.647444126263,Department 1 Hard Manual
3817.2353893907166,Department 1 Hard Manual
4651.376616773552,Department 1 Hard Manual
4939.588576874874,Department 1 Hard Manual
4144.940474779083,Department 1 Hard Manual
2736.7965194965122,Department 1 Hard Automated
2790.688160363385,Department 1 Hard Automated
2950.7271998559477,Department 1 Hard Automated
2915.8975337537595,Department 1 Hard Automated
2819.688160363385,Department 1 Hard Automated
2448.5382910116887,Department 2 Easy Manual
1761.1630390971384,Department 2 Easy Manual
2015.4702192545699,Department 2 Easy Manual
2261.3172002379374,Department 2 Easy Manual
2837.275494366945,Department 2 Easy Manual
2210.7453059922072,Department 2 Easy Manual
931.8480955259976,Department 2 Easy Automated
950.3096415107759,Department 2 Easy Automated
1011.2471415107759,Department 2 Easy Automated
975.6084492140266,Department 2 Easy Automated
1058.6813029020557,Department 2 Easy Automated
4426.74885214506,Department 2 Hard Manual
2731.8869811975524,Department 2 Hard Manual
2084.7892429232893,Department 2 Hard Manual
2803.345513339341,Department 2 Hard Manual
2671.9400942900033,Department 2 Hard Manual
2320.9178628097034,Department 2 Hard Manual
2955.5794892818553,Department 2 Hard Manual
2910.186494445703,Department 2 Hard Manual
1331.5583689419907,Department 2 Hard Automated
1341.2257394148085,Department 2 Hard Automated
1290.5913013589438,Department 2 Hard Automated
1290.9639644022166,Department 2 Hard Automated
1299.7582603781136,Department 2 Hard Automated
